Timestamp,City,State,Shape,Duration,Summary,Posted,Images,Updated_Duration,Coords,Lat,Lng,geometry
2021-07-30 20:30:00,Denver,CO,Triangle,,Spinning Triangle shaped craft with lights on tips spotted in thunderstorm,2021-12-19,0,1.0,"(-104.98485565, 39.73845291)",-104.98485565,39.73845291,POINT (-104.98485565 39.73845291)
2021-07-30 20:00:00,Tucson,AZ,Other,20+min,"Was taking storm photos, and never saw objects, till reviewing photos I noticed a streek in the sky, not lightning, and then two green",2021-08-16,0,20.0,"(-110.97122192, 32.22187805)",-110.97122192,32.22187805,POINT (-110.97122192 32.22187805)
2021-07-30 16:00:00,Greenfield,MA,Cigar,2 min,"It looked like a long sliver cigar shaped cylinder flying through the air slow with the sun shining off of it, I'm still confused..",2021-08-16,0,2.0,"(-72.60025787, 42.58787918)",-72.60025787,42.58787918,POINT (-72.60025787 42.58787918)
2021-07-30 12:51:00,Millerton,PA,Other,,MADAR Node 104,2021-08-16,0,1.0,"(-76.93714905, 41.98487473)",-76.93714905,41.98487473,POINT (-76.93714905 41.98487473)
2021-07-29 23:30:00,Brewster,WA,Circle,ongoing,"Bright, white hot light or reflection off the sun, silent, not moving, old or circular shape.",2021-08-16,0,1.0,"(-119.78092194, 48.10020065)",-119.78092194,48.10020065,POINT (-119.78092194 48.10020065)
2021-07-29 20:15:00,Portland,OR,Other,,MADAR Node 66,2021-08-16,0,1.0,"(-122.681427, 45.51601791)",-122.681427,45.51601791,POINT (-122.681427 45.51601791)
2021-07-28 23:27:00,Sparks,NV,Light,7.2 SEC.,BLUE LIGHT SEEN OVER SPARK NV. 7/28/21,2021-08-16,0,0.11666666666666667,"(-119.74799347, 39.54121399)",-119.74799347,39.54121399,POINT (-119.74799347 39.54121399)
2021-07-28 23:13:00,Bakersfield,CA,Flash,2 seconds,"Bright Blue light flashed in sky, left small smoke puff. No sound.",2021-08-16,0,0.03333333333333333,"(-119.01891327, 35.37340546)",-119.01891327,35.37340546,POINT (-119.01891327 35.37340546)
2021-07-28 23:00:00,Los Angeles,CA,Light,10 seconds,"Dense, bright blue light in a long oval shape observed and then faded into a dark cloud over Silver Lake/Glendale area of LA.",2021-08-16,0,0.16666666666666666,"(-118.24334717, 34.05223846)",-118.24334717,34.05223846,POINT (-118.24334717 34.05223846)
2021-07-28 21:15:00,Nashville,TN,Light,30 seconds,Satellites don't change direction,2021-08-16,0,0.5,"(-86.77905273, 36.1663475)",-86.77905273,36.1663475,POINT (-86.77905273 36.1663475)
2021-07-28 10:41:00,Winthrop,ME,Light,10 seconds,Silent white light.,2021-08-16,0,0.16666666666666666,"(-69.97730255, 44.30513763)",-69.97730255,44.30513763,POINT (-69.97730255 44.30513763)
2021-07-27 23:58:00,Indianapolis,IN,Fireball,2 mins,First Possible Sighting of UFO: It began to move toward me!,2021-08-16,0,2.0,"(-86.14778137, 39.7908287)",-86.14778137,39.7908287,POINT (-86.14778137 39.7908287)
